date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:01	134572/134572	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2220dac-66991912-73b88c9f530bddd6;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-brands-400.ttf	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:02	729325/729325	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b20ed-66991912-8677f2855cccdcd;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-brands-400.svg	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-brands-400.svg	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:02	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-66991912-fc8bb0017f9962c0;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.eot	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.eot	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:02	34390/34390	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-66991912-fc8bb0017f9962c0;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.eot?	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:03	13596/13596	---M--	200	added ('OK')	font/woff2	etag:%22351c-66991912-d49bc21e18e758b;;;%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.woff2	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.woff2	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:03	16800/16800	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2241a0-66991912-7a46ccf1d275dc9c;;;%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.woff	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.woff	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:03	34092/34092	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%22852c-66991912-1d49b76508f2e5be;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.ttf	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.ttf	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:04	144322/144322	---M-Z	200	added ('OK')	image/svg+xml	etag:%22233c2-66991912-782e44741df775ba;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.svg	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-regular-400.svg	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:04	204866/204866	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232042-66991912-84047e946d313880;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.eot	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.eot	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:04	204866/204866	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2232042-66991912-84047e946d313880;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.eot?	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:04	80328/80328	---M--	200	added ('OK')	font/woff2	etag:%22139c8-66991912-1da4678a14a28d7e;;;%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.woff2	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.woff2	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:05	104252/104252	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221973c-66991912-f33413bcae2af861;;;%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.woff	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.woff	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:05	204580/204580	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%2231f24-66991912-ef009495b8addc7;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.ttf	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:06	910710/910710	---M-Z	200	added ('OK')	image/svg+xml	etag:%22de576-66991912-51c06403ba0d5b63;gz%22	https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.svg	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/fontawesome/webfonts/fa-solid-900.svg	(from https://olaelectricbookings.com/en/public/front-end/plugins/fontawesome/css/all.min.css)
14:24:06	4178/4178	---M--	200	added ('OK')	image/gif	etag:%221052-66991912-22eeaf380158ac67;;;%22	https://olaelectricbookings.com/en/public/front-end/plugins/slick/ajax-loader.gif	F:/ola/olaelectricbookings.com/en/public/front-end/plugins/slick/ajax-loader.gif	(from https://olaelectricbookings.com/en/public/front-end/plugins/slick/slick-theme.css)
